"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Avena, hojuela cruda",100,"gr","378.00","13.30","72.2","4.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,49,0,"4.10",0,0,407,0,0,0,"3.97","8.8",0,0,0,0,0,0,0,0,
"Cebada con cáscara",100,"gr","361.60","8.40","77.5","2.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,61,0,"4.58",0,0,320,0,0,0,"2.78","9.7",0,0,0,0,0,0,0,0,
"Cebada, mashka o machica",100,"gr","350.30","8.60","77.4","0.7",0,0,0,0,0,0,0,0,"1.90",0,0,0,0,74,0,"12.30",0,0,320,0,0,0,"2.00","10.0",0,0,0,0,0,0,0,0,
"Cebada tostada, harina integral",100,"gr","384.32","8.68","80.2","3.2",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"9.60",0,0,"0.0",0,0,0,"0.0","5.6",0,0,0,0,0,0,0,0,
"Chancay (bizcocho)",100,"gr","354.90","8.80","64.4","6.9",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,47,0,"1.00",0,0,108,0,0,0,"0.0","19.4",0,0,0,0,0,0,0,0,
"Fideo crudo fortificado con hierro",100,"gr","350.20","9.40","77.7","0.2",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,24,0,"5.50",0,0,150,0,0,0,"1.26","12.1",0,0,0,0,0,0,0,0,
"Fideo tallarín crudo fortificado con hierro",100,"gr","317.30","9.50","69.6","0.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,40,0,"5.50",0,0,137,0,0,0,"1.26","20.4",0,0,0,0,0,0,0,0,
"Fideo tallarín sancochado fortiticado con hierro",100,"gr","97.60","3.10","21.3","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,25,0,"1.35",0,0,25,0,0,0,"0.50","75.5",0,0,0,0,0,0,0,0,
"Galleta de soda (Salada)",100,"gr","444.70","10.10","68.0","14.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,38,0,"1.50",0,0,134,0,0,0,"0.83","4.8",0,0,0,0,0,0,0,0,
"Galleta de vainilla (Dulce)",100,"gr","437.90","6.00","74.9","12.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,22,0,"0.60",0,0,665,0,0,0,"0.64","4.8",0,0,0,0,0,0,0,0,
"Maiz alazan",100,"gr","356.90","8.20","72.7","3.7",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,14,0,"0.70",0,0,377,0,0,0,"0.0","13.7",0,0,0,0,0,0,0,0,
"Maiz alazan, jora fresca de",100,"gr","296.00","5.40","62.3","2.8",0,0,0,0,0,0,0,0,"-",0,0,0,0,23,0,"0.0",0,0,275,0,0,0,"0.0","28.1",0,0,0,0,0,0,0,0,
"Maiz alazan, jora seca de",100,"gr","355.60","7.00","73.8","3.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,38,0,"0.50",0,0,346,0,0,0,"0.0","13.8",0,0,0,0,0,0,0,0,
"Maiz amarillo",100,"gr","364.40","6.70","73.6","4.8",0,0,0,0,0,0,0,0,"0.70",0,0,0,0,6,0,"1.92",0,0,267,0,0,0,"1.51","13.5",0,0,0,0,0,0,0,0,
"Maiz, blanco crudo",100,"gr","364.00","5.90","76.1","4.0",0,0,0,0,0,0,0,0,"2.60",0,0,0,0,5,0,"1.48",0,0,249,0,0,0,"1.91","12.7",0,0,0,0,0,0,0,0,
"Maíz, blanco tostado",100,"gr","398.60","7.20","82.1","4.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,6,0,"2.60",0,0,270,0,0,0,"0.0","4.6",0,0,0,0,0,0,0,0,
"Maiz, cancha tostada de",100,"gr","370.30","6.70","79.8","2.7",0,0,0,0,0,0,0,0,"9.80",0,0,0,0,11,0,"2.70",0,0,221,0,0,0,"0.58","9.5",0,0,0,0,0,0,0,0,
"Maiz, grano fresco (Choclo)",100,"gr","131.60","3.30","27.8","0.8",0,0,0,0,0,0,0,0,"4.80",0,0,0,0,8,0,"0.80",0,0,113,0,0,0,"0.45","67.3",0,0,0,0,0,0,0,0,
"Maiz, germinado seco",100,"gr","321.60","6.20","67.0","3.2",0,0,0,0,0,0,0,0,"-",0,0,0,0,22,0,"0.40",0,0,285,0,0,0,"0.0","22.0",0,0,0,0,0,0,0,0,
"Maiz, harina de",100,"gr","378.10","8.70","71.2","6.5",0,0,0,0,0,0,0,0,"1.20",0,0,0,0,64,0,"2.00",0,0,454,0,0,0,"1.73","11.9",0,0,0,0,0,0,0,0,
"Maiz, maicena",100,"gr","366.61","0.26","91.3","0.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,2,0,"0.0",0,0,13,0,0,0,"0.06","8.3",0,0,0,0,0,0,0,0,
"Maiz, morado sin coronta",100,"gr","364.60","7.30","76.2","3.4",0,0,0,0,0,0,0,0,"2.10",0,0,0,0,12,0,"0.20",0,0,328,0,0,0,"0.0","11.4",0,0,0,0,0,0,0,0,
